OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,Year_,Town,Address,Latitude,Longitude,resale_psf,resale_mean,resale_median,Shape__Area,Shape__Length
1,659,0,1,ANG MO KIO,AM,N,NORTH-EAST REGION,NER,E5CBDDE0C2113055,5/11/2016 12:00:00 AM,28976.8763,40229.1238,17494.2401897,2017,ANG MO KIO,406 ANG MO KIO AVE 10,1.3620328,103.8538267,5340.909091,4920.88758767072,4597.014925,13941379.9920104,17494.2401954698
2,794,1,2,BEDOK,BD,N,EAST REGION,ER,1719251260799DF6,5/11/2016 12:00:00 AM,38582.665,34032.0961,21872.7989616,2017,BEDOK,522 BEDOK NTH AVE 1,1.3306412,103.9269518,4253.731343,4659.97024147859,4510.869565,21733187.7866361,21872.7990569554
3,312,2,3,BISHAN,BS,N,CENTRAL REGION,CR,BA616285F402846F,5/11/2016 12:00:00 AM,28789.763,37450.8865,13517.1215562,2017,BISHAN,151 BISHAN ST 11,1.3451427,103.8555932,5468.75,6111.00958354487,5981.5996685,7618920.80262512,13517.1213592427
4,0,3,4,BOON LAY,BL,N,WEST REGION,WR,A3DC87118B43CDED,5/11/2016 12:00:00 AM,13410.3824,33008.9884,18528.4674477,,,,,,,,,8279408.17477605,18528.4679762083
5,518,4,5,BUKIT BATOK,BK,N,WEST REGION,WR,FB44C870B04B7F57,5/11/2016 12:00:00 AM,19255.415,37527.6527,15234.2234234,2017,BUKIT BATOK,225 BT BATOK CTRL,1.348447,103.752573,4253.731343,4116.86687345173,4043.335419,11133256.3062942,15234.2233583777
6,540,5,6,BUKIT MERAH,BM,N,CENTRAL REGION,CR,738B479882E4EE28,5/11/2016 12:00:00 AM,26865.7838,28662.8732,29156.293788,2017,BUKIT MERAH,7 TELOK BLANGAH CRES,1.2784398,103.8194072,7000,6479.61726445556,6129.032258,14462471.9870758,29156.3014439513
7,480,6,7,BUKIT PANJANG,BP,N,WEST REGION,WR,4A9C6E6BAF7BE998,5/11/2016 12:00:00 AM,21287.0436,38761.8448,15891.8532793,2017,BUKIT PANJANG,221 PENDING RD,1.3753269,103.7734979,3589.041096,4110.76342401875,3972.60274,9019939.85710347,15891.8534641855
8,31,7,8,BUKIT TIMAH,BT,N,CENTRAL REGION,CR,C893AEAD20F42559,5/11/2016 12:00:00 AM,23256.7643,34689.0037,22492.8408439,2017,BUKIT TIMAH,12 TOH YI DR,1.3384069,103.7727737,6634.615385,6415.76158829032,6538.461538,17526653.8478485,22492.8406032587
9,306,8,9,GEYLANG,GL,N,CENTRAL REGION,CR,957AC76DACFDE12E,5/11/2016 12:00:00 AM,34255.0407,33683.819,12959.116844,2017,GEYLANG,109 ALJUNIED CRES,1.3194707,103.8844493,5400,5149.06217956863,4784.7539165,9643155.55355591,12959.11679362
10,200,9,10,KALLANG,KL,N,CENTRAL REGION,CR,229F1481FF686959,5/11/2016 12:00:00 AM,31685.373,32515.7735,15584.1377237,2017,KALLANG/WHAMPOA,44 BENDEMEER RD,1.3222247,103.8665778,4571.428571,6101.20009755,5722.2222225,9169901.64911574,15584.1378631582
