OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,Year_,Town,Address,Latitude,Longitude,resale_psf,resale_mean,resale_median,Shape__Area,Shape__Length
1,0,0,1,2,PEOPLE'S PARK,OTSZ02,Y,OUTRAM,OT,CENTRAL REGION,CR,B4120D23006C932A,5/11/2016 12:00:00 AM,28831.7807,29419.6457,1822.1927178,,,,,,,,,93140.4319460988,1822.19278629805
2,5,1,2,2,BUKIT MERAH,BMSZ02,N,BUKIT MERAH,BM,CENTRAL REGION,CR,1C51019439A68700,5/11/2016 12:00:00 AM,26360.799,29384.1429,3074.96323452,2017,BUKIT MERAH,115 BT MERAH CTRL,1.2841878,103.8145673,5282.051282,5143.4294872,5281.25,411722.790953219,3074.96321776824
3,52,2,3,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,5/11/2016 12:00:00 AM,29153.9676,29158.0443,4297.59991003,2017,CENTRAL AREA,1C CANTONMENT RD,1.2774176,103.8414964,9263.157895,8895.66346890385,9005.712366,587222.684616625,4297.6000855978
4,0,3,4,4,PHILLIP,DTSZ04,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,615D4EDDEF809F8E,5/11/2016 12:00:00 AM,29706.7242,29744.9079,871.554887798,,,,,,,,,39437.9332569242,871.55496108204
5,0,4,5,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,5/11/2016 12:00:00 AM,29968.6175,29572.7618,1872.7521612,,,,,,,,,188767.495992482,1872.75231398981
6,0,5,6,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,5/11/2016 12:00:00 AM,29509.6437,29646.4495,1605.27969734,,,,,,,,,133006.941087902,1605.27970117228
7,71,6,7,10,TIONG BAHRU,BMSZ10,N,BUKIT MERAH,BM,CENTRAL REGION,CR,A0FB4B68155D164A,5/11/2016 12:00:00 AM,27785.672,29590.3951,3303.21489952,2017,BUKIT MERAH,131 JLN BT MERAH,1.2802187,103.828283,4615.384615,7723.82411898592,8000,448127.618654251,3303.21493413246
8,0,7,8,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,5/11/2016 12:00:00 AM,30806.2418,29530.167,2897.12642569,,,,,,,,,521200.516017735,2897.12634893505
9,63,8,9,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,5/11/2016 12:00:00 AM,27277.4698,29607.0237,2506.6879191,2017,BUKIT MERAH,38 KIM PONG RD,1.284368,103.829116,6988.636364,7661.31240403175,7733.333333,350787.560448647,2506.68789513815
10,0,9,10,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,5/11/2016 12:00:00 AM,30379.5041,29776.4334,2405.99092471,,,,,,,,,261843.904810488,2405.99093021574
11,0,10,11,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,5/11/2016 12:00:00 AM,31595.8357,29220.1873,5267.3810236,,,,,,,,,1630379.25277585,5267.38110733606
12,4,11,12,1,PEARL'S HILL,OTSZ01,Y,OUTRAM,OT,CENTRAL REGION,CR,8C7149B9EB32EEFC,5/11/2016 12:00:00 AM,28679.0634,29782.0519,3506.1073755,2017,CENTRAL AREA,53 CHIN SWEE RD,1.2877167,103.8413133,6623.376623,5513.08797775,5450.3367005,559816.234467983,3506.10775117308
13,0,12,13,3,BOAT QUAY,SRSZ03,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,C35FEFF02B13E0E5,5/11/2016 12:00:00 AM,29654.9594,29974.6553,1740.92576616,,,,,,,,,160807.479567349,1740.92574250447
14,28,13,14,8,HENDERSON HILL,BMSZ08,N,BUKIT MERAH,BM,CENTRAL REGION,CR,3775D82C5DDBEFBD,5/11/2016 12:00:00 AM,26782.8261,29933.7651,3313.62490378,2017,BUKIT MERAH,119 BT MERAH VIEW,1.2835678,103.8208789,5615.384615,5519.43753789286,5538.461538,595428.903386652,3313.62490209646
15,39,14,15,3,REDHILL,BMSZ03,N,BUKIT MERAH,BM,CENTRAL REGION,CR,85D9ABEF0A40678F,5/11/2016 12:00:00 AM,26201.958,30005.7035,2825.59409872,2017,BUKIT MERAH,73A REDHILL RD,1.287867,103.81674,7700,7218.37863951282,7286.956522,387429.446431041,2825.59418950643
16,34,15,16,7,ALEXANDRA HILL,BMSZ07,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9D286521EF5E3B59,5/11/2016 12:00:00 AM,25358.8208,29991.3842,4428.91343557,2017,BUKIT MERAH,28 HOY FATT RD,1.2865859,103.8100471,5500,5828.80108817647,5542.200855,1030378.768547,4428.91354504166
17,42,16,17,9,BUKIT HO SWEE,BMSZ09,N,BUKIT MERAH,BM,CENTRAL REGION,CR,7839A8577144EFE2,5/11/2016 12:00:00 AM,27680.0627,30230.861,3275.31248846,2017,BUKIT MERAH,54 HAVELOCK RD,1.2893349,103.8292114,8333.333333,6744.11153366667,6184.3365255,551732.035681307,3275.31230936319
