No,Name,Latitude,Longitude,MRT_Code
1,Jurong East MRT,1.3331306,103.7420909,JUR
2,Bukit Batok MRT,1.3485641,103.7490636,BBT
3,Bukit Gombak MRT,1.3590369,103.7518278,BGB
4,Choa Chu Kang MRT,1.385168,103.7443574,CCK
5,Yew Tee MRT,1.3973811,103.7475,YWT
6,Kranji MRT,1.4251684,103.7619192,KRJ
7,Marsiling MRT,1.4325197,103.774119,MSL
8,Woodlands MRT,1.436955,103.7864845,WDL
9,Admiralty MRT,1.4405862,103.800975,ADM
10,Sembawang MRT,1.4488796,103.8201024,SBW
11,Canberra MRT,1.443806,103.829185,TBA
12,Yishun MRT,1.4293251,103.834899,YIS
13,Khatib MRT,1.4173489,103.8330221,KTB
14,Yio Chu Kang MRT,1.3817576,103.8448008,YCK
15,Ang Mo Kio MRT,1.3699718,103.8495876,AMK
16,Bishan MRT,1.3513087,103.8491544,BSH
17,Braddell MRT,1.3404334,103.8468013,BDL
18,Toa Payoh MRT,1.3326911,103.8470785,TAP
19,Novena MRT,1.3204301,103.8438181,NOV
20,Newton MRT,1.3136071,103.837811,NEW
21,Orchard MRT,1.3045879,103.8319307,ORC
22,Somerset MRT,1.3005915,103.838529,SOM
23,Dhoby Ghaut MRT,1.2993651,103.8454843,DBG
24,City Hall MRT,1.2930893,103.8519267,CTH
25,Raffles Place MRT,1.2830173,103.8513365,RFP
26,Marina Bay MRT,1.2764274,103.8545978,MRB
27,Marina South Pier MRT,1.271537,103.8635552,MSP
28,Pasir Ris MRT,1.3730873,103.9493131,PSR
29,Tampines MRT,1.3532156,103.9452078,TAM
30,Simei MRT,1.3431974,103.9533771,SIM
31,Tanah Merah MRT,1.3272329,103.9465415,TNM
32,Bedok MRT,1.3240113,103.9301725,BDK
33,Kembangan MRT,1.3210276,103.9129091,KEM
34,Eunos MRT,1.3197777,103.9028587,EUN
35,c,1.3181551,103.8931141,PYL
36,Aljunied MRT,1.3164325,103.882906,ALJ
37,Kallang MRT,1.3114784,103.8713507,KAL
38,Lavender MRT,1.3072265,103.862951,LVR
39,Bugis MRT,1.3010989,103.8561152,BGS
40,City Hall MRT,1.2930893,103.8519267,CTH
41,Raffles Place MRT,1.2830173,103.8513365,RFP
42,Tanjong Pagar MRT,1.2764031,103.8468585,TPG
43,Outram Park MRT,1.2802649,103.8403456,OTP
44,Tiong Bahru MRT,1.2861934,103.8270194,TIB
45,Redhill MRT,1.2896276,103.8167623,RDH
46,Queenstown MRT,1.2952659,103.8056329,QUE
47,Commonwealth MRT,1.3024476,103.7982907,COM
48,Buona Vista MRT,1.3072792,103.7899986,BNV
49,Dover MRT,1.311322,103.7786532,DVR
50,Clementi MRT,1.3151606,103.765206,CLE
51,Jurong East MRT,1.3331306,103.7420909,JUR
52,Chinese Garden MRT,1.3423597,103.7325541,CNG
53,Lakeside MRT,1.3442374,103.7207253,LKS
54,Boon Lay MRT,1.3385559,103.7058277,BNL
55,Pioneer MRT,1.3373141,103.6968636,PNR
56,Joo Koon MRT,1.3277513,103.6783178,JKN
57,Gul Circle MRT,1.3195052,103.660553,GCL
58,Tuas Crescent MRT,1.3210266,103.6490755,TCR
59,Tuas West Road MRT,1.3300485,103.6396175,TWR
60,Tuas Link MRT,1.3403171,103.6368663,TLK
61,Expo MRT,1.3352467,103.9619976,XPO
62,Changi Airport MRT,1.357371,103.988836,CGA
63,HarbourFront MRT,1.2659167,103.8209079,HBF
64,Outram Park MRT,1.2802649,103.8403456,OTP
65,Chinatown MRT,1.2847875,103.8439312,CNT
66,Clarke Quay MRT,1.288477,103.846756,CQY
67,Dhoby Ghaut MRT,1.2993651,103.8454843,DBG
68,Little India MRT,1.3062896,103.8493919,LTI
69,Farrer Park MRT,1.3124557,103.8548207,FRP
70,Boon Keng MRT,1.3198587,103.8618306,BNK
71,Potong Pasir MRT,1.3311575,103.8690734,PTP
72,Woodleigh MRT,1.3389179,103.8704719,WLH
73,Serangoon MRT,1.3497079,103.8735748,SER
