Name,Installed Capacity (MW),Licensed Capacity (MW),Commissioned,Owner,Type,Address,Latitude,Longitude,Country,PostalCode,Full Address,Sources
Senoko Power Station,3300,3300,1983-2012,Senoko Energy Pte Ltd,"Oil, NG",31 Senoko Rd,1.464632,103.798773,Singapore,758103,31 Senoko Rd Singapore 758103 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Tuas Power Station,2476,2475.9,1999-2014,Tuas Power Ltd,"Oil, NG",60 Tuas South Avenue 9,1.287199,103.640587,Singapore,637607,60 Tuas South Avenue 9 Singapore 637607 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Jurong Power Station,180,180,1986,YTL PowerSeraya Pte Ltd,NG,16 Jurong Pier Rd,1.310932,103.710395,Singapore,619175,16 Jurong Pier Rd Singapore 619175 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Pulau Seraya Power Station,2920,2920,1987-2010,YTL PowerSeraya Pte Ltd,"Oil, NG",3 Seraya Avenue,1.2799542,103.7195415,Singapore,628209,3 Seraya Avenue Singapore 628209 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Pulau Sakra Power Station,815,785,2001,SembCorp Cogen Pte Ltd,"NG, cogen",61 Sakra Avenue,1.2592745,103.7019016,Singapore,627859,61 Sakra Avenue Singapore 627859 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Keppel Merlimau Cogen Power Station,1300,1340,2007-2013,Keppel Merlimau Cogen Pte Ltd,"NG, cogen",201 Jurong Island Highway,1.282326,103.675224,Singapore,627805,201 Jurong Island Highway Singapore 627805 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
PacificLight Power,800,800,2014,PacificLight Power Pte Ltd,LNG,47 Jurong Island Highway,1.28351,103.7214558,Singapore,627626,47 Jurong Island Highway Singapore 627626 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Tuaspring Plant,411,395.6,2016,Tuaspring Plant Pte Ltd,"LNG, desalination",92 Tuas South Ave 3,1.3030028,103.6234776,Singapore,,92 Tuas South Ave 3 Singapore  ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Senoko Incineration Plant,55,55,1993,Senoko Waste-To-Energy Pte Ltd,Waste-to-Energy,,1.4624,103.79499,Singapore,,   ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Tuas Incineration Plant,47.8,47.8,1987,National Environment Agency,Waste-to-Energy,20 Tuas Ave 20,1.325074,103.635206,Singapore,638831,20 Tuas Ave 20 Singapore 638831 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Tuas South Incineration Plant,132,132,2000,National Environment Agency,Waste-to-Energy,98 Tuas South Ave 3,1.295913,103.620613,Singapore,637821,98 Tuas South Ave 3 Singapore 637821 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
Keppel Seghers Tuas Waste-to-Energy Plant,22,22,2009,Keppel Seghers Tuas Waste-to-Energy Plant Pte Ltd,Waste-to-Energy,96 Tuas South Ave 3,1.297714,103.620985,Singapore,648896,96 Tuas South Ave 3 Singapore 648896 ,https://en.wikipedia.org/wiki/List_of_power_stations_in_Singapore
