Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
1,Total,3273360,225710,256570,235350,211290,212240,267160,290290,322620,312420,262200,206660,125060,110500,88310,66950,39640,22880,17520,17520,TOTAL,235300,0.071883325,2000
2,Ang Mo Kio,180630,9300,11730,11160,12140,14330,15990,13840,15480,16060,15910,13950,8900,7500,5660,4030,2290,1300,1080,1080,ANG MO KIO,14360,0.079499529,2000
3,Bedok,284970,16250,20970,21100,19740,20280,22150,20850,25260,26990,24840,21000,12180,10560,8480,6610,3870,2190,1670,1670,BEDOK,22820,0.080078605,2000
4,Bishan,89970,5310,8210,6830,5600,5370,6710,6860,8950,9650,7940,6030,3490,2930,2240,1600,1040,660,580,580,BISHAN,6120,0.068022674,2000
5,Boon Lay/Pioneer,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY/PIONEER,0,0,2000
6,Bukit Batok,126640,9200,10390,10870,9310,7880,9910,11790,13500,13420,10610,6970,3690,2900,2420,1730,1000,590,460,460,BUKIT BATOK,6200,0.048957675,2000
7,Bukit Merah,148450,6700,7960,7380,7840,10240,13150,11650,12140,12550,12090,11660,8170,8160,6730,5340,3360,1900,1430,1430,BUKIT MERAH,18760,0.126372516,2000
8,Bukit Panjang,96560,7670,8660,8450,6370,5930,8110,8800,10760,9850,7330,4760,2800,2290,1840,1360,780,460,340,340,BUKIT PANJANG,4780,0.0495029,2000
9,Bukit Timah,64320,3250,4940,5030,4120,4260,4570,4280,5530,6210,5890,5210,3180,2600,1960,1470,880,560,370,370,BUKIT TIMAH,5240,0.081467662,2000
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2000
11,Changi,1090,100,100,80,70,60,100,110,100,100,70,60,30,40,30,30,10,10,10,10,CHANGI,90,0.082568807,2000
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2000
13,Choa Chu Kang,136810,14730,13960,10090,8200,7310,10850,16500,16830,12890,8780,5670,3070,2560,2160,1580,840,480,320,320,CHOA CHU KANG,5380,0.039324611,2000
14,Clementi,90980,4440,5490,5250,6080,7730,8320,7080,7430,7420,8360,8040,4620,3880,2720,1880,1120,630,500,500,CLEMENTI,6850,0.075291273,2000
15,Downtown Core,4620,180,230,210,220,270,430,390,360,370,340,380,270,290,230,200,120,70,70,70,DOWNTOWN CORE,690,0.149350649,2000
16,Geylang,118910,6320,8150,7700,7360,7960,9690,9110,10560,11090,9590,8080,5510,5420,4570,3670,2090,1140,900,900,GEYLANG,12370,0.104028257,2000
17,Hougang,204070,14010,17180,16400,14100,13060,15620,16830,20680,20920,16640,12190,7220,6170,4930,3660,2150,1260,1050,1050,HOUGANG,13050,0.063948645,2000
18,Jurong East,89090,5420,6330,6710,6820,7070,7950,7340,7790,8320,7950,6230,3370,2680,2010,1420,830,480,360,360,JURONG EAST,5100,0.057245482,2000
