"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2011",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
Total,Total,"3,789,250","188,250","208,120","240,540","260,740","255,070","262,610","297,560","316,160","306,610","323,990","308,130","260,680","208,160","112,400","100,070","66,910","42,150","31,120",,,
Ang Mo Kio,Total,"178,760","7,650","8,210","9,280","10,220","10,600","12,540","14,340","14,390","13,420","14,740","14,430","13,970","12,660","7,390","6,580","4,150","2,570","1,630",,,
,Ang Mo Kio Town Centre,"4,960",280,340,290,290,270,330,410,500,430,390,330,300,290,170,160,80,60,30,,,
,Cheng San,"30,140","1,290","1,330","1,360","1,550","1,700","2,230","2,680","2,560","2,310","2,510","2,350","2,490","2,210","1,220","1,060",650,400,250,,,
,Chong Boon,"29,860",1190,"1,240","1,470","1,540","1,670","2,200","2,520","2,340","2,170","2,410","2,360","2,430","2,230","1,430","1,250",730,410,260,,,
,Kebun Bahru,"25,700",1020,"1,170","1,330","1,360","1,450","1,780","2,020","2,060","1,980","2,130","2,050","1,990","1,880","1,130","1,010",700,410,230,,,
,Sembawang Hills,"6,890",290,360,530,570,500,400,330,420,530,590,590,470,470,260,220,150,130,100,,,
,Shangri-La,"20,160",790,880,1000,"1,160","1,170","1,340","1,500","1,540","1,550","1,740","1,660","1,570","1,400",900,820,580,340,210,,,
,Tagore,"7,270",220,300,480,680,710,420,390,400,470,650,740,570,470,220,220,140,100,100,,,
,Townsville,"22,380","1,140",910,920,"1,070","1,130","1,570","2,130","2,020","1,500","1,660","1,740","1,660","1,670","1,050",980,610,390,250,,,
,Yio Chu Kang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang East,"3,810",140,190,260,330,340,230,240,250,240,310,370,340,250,120,90,40,30,30,,,
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Yio Chu Kang West,"27,590",1280,"1,490","1,650","1,680","1,690","2,030","2,130","2,310","2,260","2,330","2,240","2,150","1,800",890,780,460,300,170,,,
Bedok,Total,"295,380","13,060","14,430","17,230","19,600","20,590","20,410","21,640","22,710","22,080","24,210","24,820","22,340","19,420","10,470","8,980","6,310","4,120","2,980",,,
,Bayshore,"6,750",410,420,420,370,290,370,580,850,740,660,440,400,300,150,110,70,50,100,,,
,Bedok North,"90,800","4,050","4,250","5,120","5,770","5,880","6,450","7,100","7,040","6,630","7,580","7,520","6,930","6,150","3,390","2,860","2,010","1,280",800,,,
,Bedok Reservoir,"23,000","1,120","1,310","1,480","1,530","1,720","1,690","1,730","1,850","1,840","1,880","1,910","1,790","1,380",620,510,310,200,130,,,
,Bedok South,"53,340","2,240","2,520","3,140","3,480","3,640","3,490","3,690","3,810","4,040","4,340","4,480","3,970","3,660","2,150","1,880","1,340",850,640,,,
,Frankel,"31,860","1,490","1,820","1,870","2,120","2,030","1,740","2,110","2,810","2,660","2,590","2,410","2,240","2,010","1,090","1,010",800,570,490,,,
,Kaki Bukit,"43,570","1,950","2,090","2,760","3,400","3,670","3,440","3,190","2,980","2,950","3,570","4,080","3,380","2,690","1,160",980,630,390,280,,,
,Kembangan,"38,740","1,580","1,700","2,060","2,480","2,840","2,840","2,780","2,780","2,670","3,020","3,400","3,120","2,650","1,510","1,280",950,650,460,,,
,Siglap,"7,330",210,320,380,460,530,400,460,600,560,570,570,510,590,420,360,220,130,80,,,
Bishan,Total,"90,810","3,750","4,490","5,390","6,830","6,730","5,750","5,970","6,850","7,030","7,800","8,220","7,090","5,680","2,970","2,640","1,720","1,080",830,,,
,Bishan East,"30,250","1,320","1,450","1,530","2,030","2,430","2,190","2,220","2,410","2,210","2,330","2,710","2,500","2,010",970,890,540,290,230,,,
,Marymount,"29,010","1,200","1,470","1,940","2,570","2,220","1,780","1,940","2,090","2,280","2,820","2,730","2,120","1,580",790,610,400,310,190,,,
,Upper Thomson,"31,550","1,230","1,580","1,920","2,230","2,090","1,780","1,800","2,350","2,530","2,660","2,790","2,470","2,090","1,220","1,140",780,490,410,,,
Boon Lay,Total,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Liu Fang,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Samulun,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Shipyard,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
