"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2017",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over
,,Total (Number),,,,,,,,,,,,,,,,,,
Total,Total,"3,965,800","187,650","200,580","206,250","232,970","259,070","290,200","279,340","300,960","311,480","303,460","312,810","301,680","262,650","203,970","119,490","91,950","54,340","46,940"
Ang Mo Kio,Total,"166,820","5,930","6,710","7,590","8,450","9,600","11,150","10,150","11,850","12,640","12,390","13,200","13,220","12,950","11,640","7,440","5,890","3,330","2,670"
,Ang Mo Kio Town Centre,"4,940",200,290,320,280,260,310,320,370,460,450,370,310,280,280,160,150,70,60
,Cheng San,"28,350","1,130","1,090","1,140","1,270","1,450","1,840","1,970","2,320","2,220","2,170","2,250","2,130","2,240","2,070","1,210",930,530,390
,Chong Boon,"26,740",860,910,"1,040","1,300","1,390","1,750","1,730","1,940","1,960","1,880","2,170","2,130","2,160","2,010","1,430","1,100",570,430
,Kebun Bahru,"22,620",690,810,980,"1,110","1,280","1,480","1,290","1,500","1,670","1,730","1,870","1,820","1,780","1,670",1120,900,510,410
,Sembawang Hills,"6,800",200,320,410,520,550,510,300,300,460,520,540,550,450,420,260,220,140,140
,Shangri-La,"16,800",560,650,740,820,"1,030","1,050",980,"1,090","1,210","1,250","1,440","1,410","1,350","1,120",790,640,370,320
,Tagore,"8,130",280,340,430,520,660,700,400,430,550,570,650,730,650,460,260,210,150,130
,Townsville,"22,690",950,"1,030",940,870,"1,120","1,450","1,450","1,840","1,830","1,530","1,570","1,760","1,710","1,590","1,120",970,540,440
,Yio Chu Kang,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang East,"4,030",150,150,210,260,330,320,220,230,260,290,310,340,330,260,150,100,70,60
,Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Yio Chu Kang West,"25,690",910,"1,130","1,380","1,520","1,530","1,740","1,500","1,820","2,020","2,000","2,040","2,040","2,000","1,760",940,690,380,290
