"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3844750,183300,205700,226240,255070,266890,255620,296870,305500,312580,316340,312990,281070,222150,145820,105750,70620,46200,36060,36060,"TOTAL",404450,0.105195396319657,"1/1/2013","2013"
"2",2,5,"Ang Mo Kio",178700,7330,8040,9020,9850,10790,11410,13860,13830,13910,14030,14390,13900,12830,9270,7030,4390,2870,1970,1970,"ANG MO KIO",25530,0.142865137101287,"1/1/2013","2013"
"3",3,18,"Bedok",294080,12370,14150,15920,18420,20690,19320,20860,21820,22350,23080,24430,23160,19980,13580,9490,6570,4410,3480,3480,"BEDOK",37530,0.127618335146899,"1/1/2013","2013"
"4",4,27,"Bishan",92790,3780,4700,5030,6250,7250,5910,6210,6550,7300,7380,8040,7610,6100,3840,2780,1910,1220,950,950,"BISHAN",10700,0.115314150231706,"1/1/2013","2013"
"5",5,31,"Boon Lay",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2013","2013"
"6",6,36,"Bukit Batok",142310,6110,7490,8790,9820,10540,10570,10490,10840,11480,12100,12600,11480,8110,4660,3090,1940,1290,930,930,"BUKIT BATOK",11910,0.0836905347480852,"1/1/2013","2013"
"7",7,46,"Bukit Merah",156060,7630,7120,6730,7050,7980,9190,12500,13080,12380,11600,11600,11640,11110,8510,7130,4960,3190,2660,2660,"BUKIT MERAH",26450,0.169486095091631,"1/1/2013","2013"
"8",8,64,"Bukit Panjang",131490,6590,7550,8650,9580,10710,9300,9770,10140,10630,10860,11280,9640,6690,3940,2630,1660,1080,790,790,"BUKIT PANJANG",10100,0.0768119248612062,"1/1/2013","2013"
"9",9,72,"Bukit Timah",73130,3180,4700,4640,5040,5130,3850,3800,5230,6640,6230,5850,5220,4440,3230,2340,1620,1120,860,860,"BUKIT TIMAH",9170,0.125393135512102,"1/1/2013","2013"
"10",10,81,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2013","2013"
"11",11,83,"Changi",2540,190,240,200,150,150,100,210,290,250,240,140,110,80,60,60,30,20,40,40,"CHANGI",210,0.0826771653543307,"1/1/2013","2013"
"12",12,87,"Changi Bay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHANGI BAY",0,0,"1/1/2013","2013"
"13",13,89,"Choa Chu Kang",174870,7800,10140,12810,16050,13870,11580,12310,12640,14910,17190,15090,11450,7650,4250,2960,1990,1310,880,880,"CHOA CHU KANG",11390,0.0651340996168582,"1/1/2013","2013"
"14",14,96,"Clementi",91490,4020,4400,4620,4730,5080,5660,7180,7560,7520,7250,6840,6760,6900,4950,3480,2160,1340,1040,1040,"CLEMENTI",12970,0.141764127227019,"1/1/2013","2013"
"15",15,106,"Downtown Core",3730,110,100,110,130,150,220,340,360,380,320,270,270,270,220,170,110,80,130,130,"DOWNTOWN CORE",710,0.190348525469169,"1/1/2013","2013"
"16",16,119,"Geylang",119530,4970,5590,5910,6960,7970,7970,8820,9120,9140,9420,9990,9550,7710,5460,4220,3010,2110,1620,1620,"GEYLANG",16420,0.137371371203882,"1/1/2013","2013"
"17",17,125,"Hougang",217900,8270,10100,12670,15620,17060,15070,14590,15050,16400,18230,19930,18080,13500,8590,6070,4000,2650,2030,2030,"HOUGANG",23340,0.107113354749885,"1/1/2013","2013"
"18",18,136,"Jurong East",86950,3590,4250,4840,5320,6200,6580,6900,6560,6720,6690,7000,7120,6040,3730,2380,1480,900,670,670,"JURONG EAST",9160,0.105347901092582,"1/1/2013","2013"
"19",19,147,"Jurong West",271320,14390,16430,17410,18900,19380,19550,24240,23680,22680,22220,20210,18520,14330,8290,5060,3030,1760,1270,1270,"JURONG WEST",19410,0.0715391419725785,"1/1/2013","2013"
"20",20,157,"Kallang",102840,4530,4570,4690,5000,5440,6200,8060,8570,8650,7980,8120,7750,7090,5180,4380,3010,2050,1580,1580,"KALLANG",16200,0.157526254375729,"1/1/2013","2013"
"21",21,167,"Lim Chu Kang",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LIM CHU KANG",0,0,"1/1/2013","2013"
