"","Subzone","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","SUBZONE_N","65_AND_OVER","ELDERLY_DENSITY","55_AND_OVER"
"6","Ang Mo Kio Town Centre","4940","200","290","320","280","260","310","320","370","460","450","370","310","280","280","160","150","70","60","60","ANG MO KIO TOWN CENTRE",720,0.145748987854251,1310
"7","Cheng San","28350","1130","1090","1140","1270","1450","1840","1970","2320","2220","2170","2250","2130","2240","2070","1210","930","530","390","390","CHENG SAN",5130,0.180952380952381,9500
"8","Chong Boon","26740","860","910","1040","1300","1390","1750","1730","1940","1960","1880","2170","2130","2160","2010","1430","1100","570","430","430","CHONG BOON",5540,0.207180254300673,9830
"9","Kebun Bahru","22620","690","810","980","1110","1280","1480","1290","1500","1670","1730","1870","1820","1780","1670","1120","900","510","410","410","KEBUN BAHRU",4610,0.203801945181256,8210
"10","Sembawang Hills","6800","200","320","410","520","550","510","300","300","460","520","540","550","450","420","260","220","140","140","140","SEMBAWANG HILLS",1180,0.173529411764706,2180
"11","Shangri-La","16800","560","650","740","820","1030","1050","980","1090","1210","1250","1440","1410","1350","1120","790","640","370","320","320","SHANGRI-LA",3240,0.192857142857143,6000
"12","Tagore","8130","280","340","430","520","660","700","400","430","550","570","650","730","650","460","260","210","150","130","130","TAGORE",1210,0.148831488314883,2590
"13","Townsville","22690","950","1030","940","870","1120","1450","1450","1840","1830","1530","1570","1760","1710","1590","1120","970","540","440","440","TOWNSVILLE",4660,0.20537681798149,8130
"14","Yio Chu Kang","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YIO CHU KANG",0,0,0
"15","Yio Chu Kang East","4030","150","150","210","260","330","320","220","230","260","290","310","340","330","260","150","100","70","60","60","YIO CHU KANG EAST",640,0.158808933002481,1310
"16","Yio Chu Kang North","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YIO CHU KANG NORTH",0,0,0
"17","Yio Chu Kang West","25690","910","1130","1380","1520","1530","1740","1500","1820","2020","2000","2040","2040","2000","1760","940","690","380","290","290","YIO CHU KANG WEST",4060,0.158038147138965,8100
"19","Bayshore","7310","390","480","480","410","340","320","360","670","880","770","630","420","390","310","180","110","70","110","110","BAYSHORE",780,0.106703146374829,1590
"20","Bedok North","83810","2960","3440","3680","4690","5310","5880","4880","5790","6230","6080","6870","7060","6440","5660","3560","2530","1500","1260","1260","BEDOK NORTH",14510,0.173129698126715,28010
"21","Bedok Reservoir","26190","1250","1420","1520","1610","1570","1790","1880","2060","2270","2120","2000","1940","1790","1380","660","470","250","210","210","BEDOK RESERVOIR",2970,0.11340206185567,6700
"22","Bedok South","48990","1750","1950","2310","2660","3160","3530","2830","3030","3360","3610","3830","4080","3720","3350","2140","1720","1050","910","910","BEDOK SOUTH",9170,0.187181057358645,16970
"23","Frankel","33900","1590","2020","1920","1820","1970","2060","1870","2550","3240","2910","2440","2180","2090","1900","1110","880","660","690","690","FRANKEL",5240,0.154572271386431,9510
"24","Kaki Bukit","39430","1340","1490","1800","2380","3060","3470","2660","2460","2540","2620","3100","3720","3320","2500","1280","850","460","400","400","KAKI BUKIT",5490,0.139234085721532,12530
"25","Kembangan","38690","1530","1440","1640","1980","2370","3090","2700","2590","2590","2680","2910","3270","3110","2600","1590","1190","730","690","690","KEMBANGAN",6800,0.17575600930473,13180
"26","Siglap","6620","180","270","280","340","390","420","330","420","510","520","490","490","440","510","400","300","210","130","130","SIGLAP",1550,0.234138972809668,2480
"28","Bishan East","28970","990","1230","1360","1410","1790","2650","1850","1880","2150","2120","2120","2470","2360","1930","1030","830","460","340","340","BISHAN EAST",4590,0.158439765274422,9420
"29","Marymount","30680","1250","1460","1690","1890","2430","2490","1720","2030","2310","2280","2660","2590","2150","1560","880","610","340","330","330","MARYMOUNT",3720,0.121251629726206,8460
"30","Upper Thomson","30630","1000","1380","1510","1740","2040","2220","1560","1780","2190","2380","2460","2540","2410","1940","1220","990","660","630","630","UPPER THOMSON",5440,0.17760365654587,10390
"32","Liu Fang","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","LIU FANG",0,0,0
"33","Samulun","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SAMULUN",0,0,0
"34","Shipyard","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SHIPYARD",0,0,0
"35","Tukang","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUKANG",0,0,0
